Ticker,Name,Market Cap,Last Sale,Net Change,Percentage Change
ORLY,"O'Reilly Automotive, Inc. Common Stock",41776400359,$635.62,13.28,+2.13%
PANW,"Palo Alto Networks, Inc. Common Stock",48356821807,$491.01,12.5,+2.61%
PAYX,"Paychex, Inc. Common Stock",43210171289,$119.69,1.76,+1.49%
PCAR,PACCAR Inc. Common Stock,29118469843,$83.75,0.26,+0.31%
PDD,Pinduoduo Inc. American Depositary Shares,47692627435,$37.72,3.49,+10.2%
PEP,"PepsiCo, Inc. Common Stock",240199787869,$173.72,3.32,+1.95%
PYPL,"PayPal Holdings, Inc. Common Stock",91288287603,$78.83,4.54,+6.11%
QCOM,QUALCOMM Incorporated Common Stock,151121600000,$134.93,3.16,+2.4%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",70907915151,$645.52,11.56,+1.82%
ROST,"Ross Stores, Inc. Common Stock",32349178820,$92.06,2.94,+3.3%
SBUX,Starbucks Corporation Common Stock,86705640000,$75.60,5.7,+8.15%
SGEN,Seagen Inc. Common Stock,24966179460,$135.63,8.53,+6.71%
SIRI,Sirius XM Holdings Inc. Common Stock,24167755341,$6.14,0.15,+2.5%
SNPS,"Synopsys, Inc. Common Stock",42253714905,$275.99,13.93,+5.32%
SPLK,Splunk Inc. Common Stock,16383347509,$101.80,8.04,+8.58%
SWKS,"Skyworks Solutions, Inc. Common Stock",16652636346,$103.48,3.53,+3.53%
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,47883648020,$188.90,20.66,+12.28%
TMUS,"T-Mobile US, Inc. Common Stock",158365371953,$126.33,2.3,+1.85%
TSLA,"Tesla, Inc. Common Stock",797302878181,$769.59,41.59,+5.71%
TXN,Texas Instruments Incorporated Common Stock,156522998850,$169.74,3.84,+2.31%
VRSK,"Verisk Analytics, Inc. Common Stock",27823910010,$176.21,2.55,+1.47%
VRSN,"VeriSign, Inc. Common Stock",18086941268,$165.11,0.7,+0.43%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,63100110698,$246.72,5.87,+2.44%
WBA,"Walgreens Boots Alliance, Inc. Common Stock",37617334357,$43.55,0.39,+0.9%
WDAY,"Workday, Inc. Class A Common Stock",45754790000,$182.29,10.37,+6.03%
XEL,Xcel Energy Inc. Common Stock,40571223125,$74.49,0.94,+1.28%
ZM,"Zoom Video Communications, Inc. Class A Common Stock",28373315994,$94.84,9.87,+11.62%
ZS,"Zscaler, Inc. Common Stock",21618506035,$153.23,15.6,+11.33%
